"email_text","label"
"Hi, I'm reaching out from our IT department. We're rolling out a security update and need to verify all employee credentials. Please log in through the secure portal below and confirm your identity before end of day Friday.","1"
"This is a courtesy notice that your email storage quota has exceeded 95%. Your ability to send and receive emails may be interrupted. Please log in to our webmail portal and delete unnecessary emails or request a storage increase.","1"
"Hey, just wanted to check if we're still on for dinner on Saturday? I was thinking we could try that new Italian place downtown — I heard they have great pasta. Let me know if the time works for you!","0"
"Hi Sarah, thanks so much for the birthday wishes! It really made my day. Let's catch up soon — it's been way too long. Maybe coffee next weekend?","0"
"Quick reminder that Mom's birthday is next Thursday. Are you planning to come for dinner? She'd love to have everyone there. Let me know if you need me to pick you up.","0"
"Hey, I found that book you were looking for at the library. They have two copies available right now. You might want to swing by before the weekend — it's a popular one.","0"
"Just checking in — how are you feeling? I heard you were under the weather last week. Hope you're doing better. Let me know if you need anything.","0"
"Hi team, just a heads up that the Q2 planning meeting has been moved to Thursday at 2pm. Please update your calendars accordingly. The agenda remains the same — we'll send it out tomorrow morning.","0"
"Hi Mark, I've reviewed the proposal and have a few minor comments. Overall it looks solid. Could we schedule 30 minutes this week to go over my feedback before we send it to the client?","0"
"Please find attached the updated project timeline following our meeting last week. The key milestones remain unchanged, but we've adjusted some of the interim deadlines. Let me know if you have any questions.","0"
"As discussed in today's standup, I've submitted the pull request for the authentication module. It's ready for code review when you get a chance. I've included a brief description of the changes in the PR notes.","0"
"Hi everyone, the office will be closed on Monday for the public holiday. For any urgent matters, please contact the on-call team via the emergency number in the company directory. Have a great long weekend!","0"
"Following up on our call last week — I've drafted the contract terms and sent them to legal for review. We should have a clean version back by end of week. I'll forward it to you as soon as it's ready.","0"
"Hi Anna, I wanted to let you know that your expense report from the conference has been approved and processed. The reimbursement should appear in your next paycheck. Thanks for submitting everything so promptly.","0"
"The IT team will be performing routine maintenance on our servers this Saturday from 10pm to 2am. During this window, access to internal systems including email and the VPN may be intermittent. Please plan accordingly.","0"
"Hi, I noticed a small discrepancy in the numbers on slide 14 of the deck you shared. I think the 2023 revenue figure might be off by about $200k — could you double-check against the finance report? Otherwise it looks great.","0"
"Thanks for covering my meetings while I was out. I'm back at my desk now and have gone through the notes you sent. Really appreciate you handling everything so smoothly — let me know if there's anything I can do in return.","0"
"Your order #ORD-8821934 has been shipped. Your estimated delivery date is April 3-5. You can track your package using the link below. Thank you for shopping with us!","0"
"Your reservation at The Grand Hotel has been confirmed for April 12-14. Check-in is at 3:00pm and check-out is at 11:00am. Please bring a valid photo ID and the credit card used for booking.","0"
"Hi, this is a confirmation that your appointment with Dr. Kowalski is scheduled for Thursday, April 18 at 10:30am. Please arrive 10 minutes early to complete any paperwork. To cancel or reschedule, call our office at least 24 hours in advance.","0"
"Your monthly statement is now available. Your current balance is $1,243.57. Minimum payment of $25 is due by April 28. You can view your full statement and make payments through your online banking portal.","0"
"Thank you for subscribing to our newsletter! You'll receive weekly updates every Monday morning. You can manage your preferences or unsubscribe at any time using the link in the footer of any of our emails.","0"
"Your Zoom meeting recording is now available. 'Marketing Strategy — Q2 Review' (Duration: 48 min). The recording will be stored in your cloud for 30 days. You can view or download it from your Zoom account.","0"
"Your password was successfully changed. If you made this change, no further action is needed. If you didn't change your password, please contact our support team immediately and we'll help secure your account.","0"
"Receipt for your recent purchase: 2x Premium Wireless Headphones — $179.98. Payment was charged to your Visa ending in 1234. If you have any questions about your order, please contact our support team.","0"
"This month in our newsletter: tips for better sleep, a recipe roundup, and an interview with a local chef. Plus, don't miss our reader poll — we want to know what topics you'd like us to cover next.","0"
"New blog post: '10 Productivity Habits That Actually Work (Backed by Research)'. We asked 500 professionals what helped them most — the results might surprise you. Read the full article on our website.","0"
"Your weekly summary from LinkedIn: 3 new connection requests, 12 new profile views, and 2 messages waiting in your inbox. John Smith commented on your recent post about remote work trends.","0"
"GitHub Actions summary for your repository: 3 workflows ran successfully, 1 failed on the 'build' step. You can view the full run logs and debug the issue from your Actions dashboard.","0"
"As a reminder, open enrollment for benefits closes on April 30th. If you'd like to make any changes to your health, dental, or vision coverage, please log in to the HR portal and complete your selections before the deadline.","0"
"The updated employee handbook is now available on the intranet. Key changes include updates to the remote work policy and the revised expense reimbursement guidelines. Please review the changes and acknowledge receipt by the end of the month.","0"
"We're pleased to announce that our annual company picnic will be held on June 8th at Riverside Park. Food, games, and activities will be provided. Please RSVP by May 31st so we can plan accordingly. Partners and children are welcome!","0"
"Hi, just following up on the job application you submitted last week for the Marketing Coordinator role. We've reviewed your CV and would love to invite you for a first-round interview via video call. Are you available next Tuesday or Wednesday?","0"
"Your direct deposit of $3,420.00 has been posted to your checking account ending in 9812. This deposit was submitted by your employer and should be available immediately. Log in to view your full balance and transaction history.","0"
"Your credit score has been updated. Your current score is 742 (+3 from last month). Key factors: payment history (excellent), credit utilization (18%). Log in to view your full credit report and personalized tips.","0"
"A new tax document is available for your account: Form 1099-INT for the 2023 tax year. You can download it from the Documents section of your online banking portal. This document is needed for your tax filing.","0"
"Hi, thank you for reaching out to us. I've looked into your case and can confirm that the refund of $49.99 has been processed. It may take 5-7 business days to appear on your statement, depending on your bank.","0"
"We've received your support request (#TKT-009821) and assigned it to a specialist. You'll receive a response within 1 business day. In the meantime, you may find an answer in our Help Center.","0"
"Your account settings have been updated as requested. Two-factor authentication is now enabled on your account. You'll be asked to verify your identity via SMS each time you log in from a new device.","0"
"Dear students, please note that the deadline for submitting your research papers has been extended to April 19th. Office hours this week will be held on Wednesday from 2-4pm. Please email if you have any questions.","0"
"The library will be hosting a free workshop on academic research databases this Friday at 1pm in Room 204. Space is limited — please register using the link below if you'd like to attend.","0"
"Hi, I work in talent acquisition and I came across your profile while searching for candidates in your field. We have a confidential opening that could be a great fit. Would you be open to hearing more details?","1"
"Just a friendly reminder that your free trial ends in 3 days. To continue enjoying all features without interruption, please add a payment method to your account. You won't be charged until the trial ends.","0"
"We noticed you haven't logged into your account in a while. We wanted to make sure everything is okay and let you know that your account data is safe. Log in anytime to pick up where you left off.","0"
"Your verification code is 847291. This code expires in 10 minutes. Do not share this code with anyone. Our support team will never ask for this code.","0"
"Hi, I'm writing because we have a limited number of spots available in our executive mentorship program. Given your experience, I thought you might be a great candidate. Would you be interested in learning more?","1"
"Congratulations on your work anniversary! It's been 3 years since you joined the team. We appreciate your dedication and contributions. Your manager has left a note for you in your HR portal.","0"
"We're reaching out because a customer with access to your account contact details may have been affected by a recent data breach at a third-party vendor. As a precaution, we recommend changing your password and enabling 2FA.","0"
"Hi, someone shared a file with you: 'Partnership Proposal Q2.pdf'. Click the link to view the document. The file will be available for 30 days.","1"
"This is a reminder that your vehicle's extended warranty is about to expire. Based on your vehicle history, you may still qualify for coverage. Please call us today to avoid any lapse in protection.","1"
"Your request to close your account has been received. If you made this request, no further action is needed. If you did not request account closure, please contact our support team immediately.","0"
"We'd love your feedback on your recent purchase. How would you rate your experience with us? Your input helps us improve. Click the stars below to leave a quick review.","0"
"Hi there, I run a small digital marketing agency and I've been following your company's growth. I have a few ideas that could help increase your online visibility. Would you be open to a quick intro call?","1"
"As part of our annual security audit, we ask all employees to verify their login credentials using the internal IT portal. Please complete this by Friday to ensure uninterrupted access to company systems.","1"
"Your account was logged into from a new device: Chrome on Windows, located in Berlin, Germany. If this was you, no action is needed. If not, please secure your account immediately.","0"
"Hi, we noticed your business listing on Google Maps may have outdated information. Thousands of customers search for businesses like yours every day. Click below to claim and update your free listing before a competitor does.","1"
"Friendly reminder: your annual subscription to our antivirus software expires in 7 days. Renew now to stay protected and keep your personal data safe. Renewing early also locks in your current rate before our price increase.","1"
"Hey, I wanted to give you a heads-up — I'm going to be on vacation next week with limited email access. If anything urgent comes up, please reach out to my colleague Lisa who'll be covering for me. I'll catch up on everything when I'm back.","0"
"Hi, following up on our conversation from last quarter. The market conditions have shifted quite a bit, and I wanted to get your thoughts on revisiting the contract terms we discussed. Are you free for a call sometime this week?","0"
"This is to confirm your cancellation of the Premium subscription effective April 30th. You'll continue to have access to all Premium features until that date. If you change your mind, you can reactivate your plan from your account settings.","0"
"Your application for the Software Engineer position at TechCorp has been received. Our team will review your materials and be in touch within 2 weeks. In the meantime, feel free to explore more about us at our website.","0"
"We're excited to announce that our new mobile app is now available for download. It's faster, cleaner, and packed with new features you've been asking for. Update now through the App Store or Google Play.","0"
